房子标题,小区名字,小区地址,相关信息,房价总价/万,每平方价格
合正逸园 3室1厅 720万,合正逸园 ,梅林,3室1厅 | 87.91平米 | 北 | 精装 | 高楼层(共11层) | 2003年建 | 塔楼,720,81902
科技园正规两房，满五唯一，视野无遮挡，诚心出售,松坪村西区三期 ,科技园,2室2厅 | 50.19平米 | 东南 | 精装 | 高楼层(共33层) | 2012年建 | 塔楼,539,107392
德逸公园旁电梯小高层 门口是沃尔玛商场精装两房,城投七里香榭 ,红山,2室1厅 | 74.33平米 | 南 | 精装 | 高楼层(共11层) | 2007年建 | 塔楼,550,73995
金海岸大厦南向、高层一房，双阳台，精装修,金海岸大厦 ,后海,1室1厅 | 43.09平米 | 南 | 精装 | 中楼层(共30层) | 2003年建 | 塔楼,445,103273
天福华府 3室2厅 580万,天福华府 ,西乡,3室2厅 | 88.06平米 | 东南 | 精装 | 中楼层(共25层) | 2016年建 | 塔楼,580,65865
满五年，家庭唯一住宅，精装修，地铁口物业，诚心出售,东方海雅居 ,南山中心,2室1厅 | 64.21平米 | 西北 | 精装 | 中楼层(共26层) | 2002年建 | 板塔结合,580,90329
5号线地铁 精装修三房 满五年唯一红本 交通方便,阳光花园 ,布吉街,3室2厅 | 78.81平米 | 东 | 精装 | 中楼层(共6层) | 2001年建 | 板塔结合,330,41873
长丰苑 方正户型  采光好  业主诚心出售,长丰苑 ,春风路,1室1厅 | 48.96平米 | 北 | 精装 | 高楼层(共29层) | 1999年建 | 板塔结合,183,37378
满五唯一.楼层好通风采光佳，自住保养好,漾福居 ,华强南,2室1厅 | 66.23平米 | 北 | 简装 | 高楼层(共31层) | 2003年建 | 板塔结合,475,71720
大芬地铁口桂芳园 精装二房 楼层好 满五唯一税费少,桂芳园六期 ,布吉大芬,2室2厅 | 72.79平米 | 西北 | 精装 | 高楼层(共18层) | 2004年建 | 塔楼,350,48084
绿海名居标准2房 满5唯一 西南向  安静  住家优选,绿海名居 ,碧海,2室1厅 | 75.31平米 | 西南 | 精装 | 低楼层(共15层) | 2007年建 | 板塔结合,628,83389
居家精装修，房子干净整洁，拎包入住,桃源居十二区 ,桃源居,2室2厅 | 56.15平米 | 东南 | 精装 | 中楼层(共8层) | 1998年建 | 塔楼,370,65895
国贸商圈 ，   花园小区 ，  此房满三年税费少,友谊大厦 ,春风路,1室1厅 | 40.15平米 | 西北 | 精装 | 高楼层(共22层) | 1983年建 | 塔楼,210,52304
房子满五年唯一红本在手，业主自住，装修保养好,东源阁花园 ,龙华中心,2室2厅 | 78.27平米 | 东 东南 | 简装 | 高楼层(共6层) | 2002年建 | 板塔结合,335,42801
满五，皇御苑三期优质两房，朝北安静看花园,皇御苑三期 ,皇岗,2室2厅 | 69.29平米 | 东北 | 精装 | 低楼层(共28层) | 2008年建 | 塔楼,558,80532
嘉御山朝东南看花园两房，满五唯一，位置安静,信义嘉御山 ,坂田,2室2厅 | 70.75平米 | 东南 | 精装 | 低楼层(共33层) | 2015年建 | 板塔结合,610,86220
满五唯一，税费少，户型方正，安静,万象新天 ,西乡,2室2厅 | 60.86平米 | 东南 | 精装 | 中楼层(共15层) | 2013年建 | 塔楼,550,90372
南向  满2精装2房，自住 看房方便 温馨住家拎包入住,叠翠新峰花园 ,龙岗双龙,2室1厅 | 67.26平米 | 东南 南 | 精装 | 低楼层(共9层) | 2004年建 | 板塔结合,265,39400
满五唯一，费用少，高楼层 采光无遮挡 观景好,金石雅苑 ,福永,2室2厅 | 61.42平米 | 西南 | 简装 | 高楼层(共18层) | 2003年建 | 板楼,400,65126
深圳北站民治地铁口+潜龙+精装两房，业主诚售,榕苑 ,民治,2室1厅 | 55.58平米 | 南 | 精装 | 低楼层(共7层) | 1998年建 | 板楼,330,59374
不受新政影响 万科物业 少有的朝南向大三房！满五唯一,山湖居 ,布心,3室1厅 | 92.24平米 | 南 | 精装 | 低楼层(共11层) | 2003年建 | 板塔结合,500,54207
上车靓盘 买他 小两房总价低 买他 小区就这一套 买他,珠江旭景佳园 ,坂田,2室1厅 | 65.16平米 | 东南 | 简装 | 高楼层(共24层) | 2008年建 | 塔楼,428,65685
明珠城 方正两房 满五唯一 红本 税费少,东方明珠城 ,龙岗中心城,2室1厅 | 62.4平米 | 北 | 精装 | 中楼层(共32层) | 2007年建 | 塔楼,265,42468
满五，业主自己赎楼，交易快，税费少。南向看花园泳池,中城康桥花园一期 ,丹竹头,2室2厅 | 75.54平米 | 东南 | 精装 | 中楼层(共12层) | 2002年建 | 板塔结合,350,46334
高楼层俯瞰花园 山景 装修保养好，业主诚心出售,振业天峦 ,龙岗宝荷,2室1厅 | 60.05平米 | 南 | 精装 | 高楼层(共30层) | 2014年建 | 板塔结合,269,44797
新天地皆大欢喜一房户型 采光通透,新天地名居 ,黄贝岭,1室1厅 | 38.71平米 | 西北 | 简装 | 中楼层(共31层) | 2005年建 | 板塔结合,260,67167
精装修1改2  临公园品质大花园社区   安静高层诚心,云顶翠峰 ,皇岗,1室1厅 | 54.47平米 | 北 | 精装 | 中楼层(共32层) | 2003年建 | 板塔结合,490,89958
高楼层正规大两房，视野采光无遮挡，看房提前预约。,碧海富通城一期 ,碧海,2室1厅 | 76.25平米 | 南 | 简装 | 高楼层(共18层) | 2006年建 | 板楼,690,90492
龙岗区政府旁 精装两房住宅 业主诚意出售,万象天成 ,龙岗中心城,2室1厅 | 55.91平米 | 南 | 精装 | 中楼层(共26层) | 2010年建 | 板塔结合,205,36667
合正荣悦府 顶层中空复式5房 现代装修风格 全景空间,合正荣悦 ,黄贝岭,5室2厅 | 142.97平米 | 东南 | 精装 | 高楼层(共32层) | 2014年建 | 塔楼,1650,115409
首地容御 3室1厅 1750万,首地容御 ,华侨城,3室1厅 | 181.64平米 | 东南 | 精装 | 高楼层(共32层) | 2011年建 | 板塔结合,1750,96345
新装修，视野好，采光通透，业主诚心出售,万事达名苑 ,百仕达,2室1厅 | 71.08平米 | 西南 | 精装 | 高楼层(共18层) | 1999年建 | 板塔结合,400,56275
南北通透的毛坯房，*为舒适三房,振业峦山谷 ,龙岗宝荷,2室2厅 | 80.92平米 | 南 北 | 毛坯 | 中楼层(共32层) | 2009年建 | 板塔结合,305,37692
满五年  红本    厅出阳台  安静,缤纷时代家园 ,螺岭,2室1厅 | 57.43平米 | 北 | 毛坯 | 低楼层(共33层) | 2004年建 | 板塔结合,460,80098
花语岸两房一厅 朝南 毛坯房 楼层好 采光好,花语岸 ,布吉街,2室1厅 | 68.14平米 | 东南 | 毛坯 | 中楼层(共25层) | 2010年建 | 塔楼,345,50632
好 房 源不容 错 过 主 诚 心出 售 看房方便,佳兆业水岸新都 ,龙岗双龙,2室1厅 | 59.66平米 | 北 | 简装 | 高楼层(共28层) | 2008年建 | 板楼,195,32686
满五红本 布吉地铁站刚需单房 高楼层大阳台通风采光好,百合星城一期 ,布吉关,1室1厅 | 36.03平米 | 北 | 精装 | 高楼层(共30层) | 2003年建 | 塔楼,,40411
满五年唯一红本在手 信和实用2房 看房随时,信和爱琴居 ,布吉大芬,2室1厅 | 62.95平米 | 东 | 简装 | 中楼层(共32层) | 2005年建 | 塔楼,240,38126
高层海景，户型方正，诚意出售！,蓝漪花园 ,蛇口,4室1厅 | 139.9平米 | 南 | 简装 | 高楼层(共17层) | 2002年建 | 板塔结合,1328,94925
上叠东端头位别墅 通风采光好 视野开阔,招商华侨城曦城六期 ,曦城,6室1厅 | 240.22平米 | 南 | 毛坯 | 上叠(共2层) | 2009年建 | 板塔结合 | 叠拼别墅 ,2080,86588
竹园小区 3室1厅 950万,竹园小区 ,竹子林,3室1厅 | 75.12平米 | 东 | 精装 | 低楼层(共7层) | 1996年建 | 板楼,950,126465
锦绣花园大社区，安静南北通四房，电梯直达车库,锦绣花园三期 ,华侨城,4室2厅 | 192.63平米 | 南 北 | 精装 | 低楼层(共28层) | 2003年建 | 板塔结合,1850,96040
深圳湾公馆 高拓展复式  管家式服务 全新未入住,深圳湾公馆 ,后海,3室2厅 | 87.15平米 | 南 北 | 精装 | 低楼层(共48层) | 2016年建 | 板塔结合,1550,177855
翠竹站97平大三房 满五红本税费少 享翠竹苑配套,金福大厦 ,百仕达,3室1厅 | 97.3平米 | 南 | 简装 | 中楼层(共21层) | 1994年建 | 塔楼,525,53957
世纪村四期，高楼层，南向，视野开阔,世纪村四期 ,红树湾,3室1厅 | 155.77平米 | 东南 | 精装 | 中楼层(共28层) | 2004年建 | 塔楼,1390,89235
地铁口复式精装大四房 保养好 得房率高 业主自住,信义御城豪园 ,横岗,4室1厅 | 89.87平米 | 东南 | 精装 | 中楼层(共32层) | 2015年建 | 塔楼,495,55080
南看塘朗山 北看高尔夫 南北通 3代同堂,塘朗城广场东区 ,大学城,4室2厅 | 141.34平米 | 南 | 简装 | 低楼层(共32层) | 2015年建 | 塔楼,1080,76412
华润城润府一期 次新房 安静 西南向四房两卫,华润城润府一期 ,科技园,4室2厅 | 87.05平米 | 西南 | 精装 | 59层 | 2016年建 | 板塔结合,1698,195061
丽湖花园 成熟小区 安静舒适  华润入驻多年 购物方便,丽湖花园二期 ,布吉水径,3室1厅 | 63.32平米 | 西 | 精装 | 中楼层(共9层) | 1999年建 | 板塔结合,260,41062
满五年 免增值税 桂芳园 精装修 离地铁口近,桂芳园四期 ,布吉大芬,1室1厅 | 46.93平米 | 西南 | 精装 | 低楼层(共11层) | 2002年建 | 板塔结合,,51098
精装交房原始三房，安静宜居，诚意出售,水木丹华 ,大学城,3室2厅 | 89.9平米 | 东北 | 精装 | 低楼层(共29层) | 2014年建 | 塔楼,980,109011
临海四房，看海景，户型方正，东南向，业主诚心卖房。,半岛城邦花园一期 ,蛇口,4室2厅 | 164.08平米 | 南 北 | 精装 | 低楼层(共25层) | 2006年建 | 板塔结合,2600,158460
此房南朝向，客厅出阳台，无遮挡，高楼层。,西城丰和 ,西乡,3室2厅 | 100.47平米 | 东南 | 简装 | 中楼层(共33层) | 2007年建 | 板塔结合,650,64696
海龙苑三房两卫，适合居住，看房随时有钥匙，,海龙苑 ,西丽,3室2厅 | 115.74平米 | 南 | 简装 | 中楼层(共9层) | 2004年建 | 板塔结合,836,72231
山语华庭 精装修大三房 有入户满两年 看房方便,山语华庭 ,西乡,3室1厅 | 130.63平米 | 东南 | 简装 | 中楼层(共17层) | 2007年建 | 板塔结合,900,68897
无个税 南外高新科苑 格局方正四房 无欠款,滨福庭园 ,科技园,4室2厅 | 126.42平米 | 南 北 | 精装 | 中楼层(共11层) | 2005年建 | 板塔结合,2076,164215
深业一期，安静好房环境逸人，红本在手,深业东岭 ,黄贝岭,4室2厅 | 126.58平米 | 西北 | 精装 | 低楼层(共45层) | 2017年建 | 板楼,863,68179
大学城宜居三房     满五唯一   南北通  诚意出售,学城绿园 ,大学城,3室2厅 | 97.36平米 | 南 | 简装 | 中楼层(共7层) | 2003年建 | 板楼,660,67790
看沙河景观，三房两厅，满五唯一,德意名居一期 ,大学城,3室2厅 | 86.85平米 | 南 北 | 简装 | 低楼层(共18层) | 2010年建 | 塔楼,830,95568
向南瑞峰三房，清爽装修，公摊面积小，近11号线,向南瑞峰花园 ,南山中心,3室1厅 | 64.1平米 | 西 | 精装 | 低楼层(共31层) | 2011年建 | 塔楼,680,106085
高层景观漂亮，户型通透，红本在手，交易税费低,锦绣花园二期 ,华侨城,4室1厅 | 193.33平米 | 西南 | 精装 | 高楼层(共33层) | 2001年建 | 板塔结合,1750,90519
此房满五唯一，免个税。户型方正、格局好。,海月花园三期 ,蛇口,3室2厅 | 115.25平米 | 东南 | 简装 | 低楼层(共18层) | 2005年建 | 板塔结合,1580,137094
地铁七号线桃源村站  三房 看山景  环境好,郁金香家园 ,西丽,3室1厅 | 92.39平米 | 北 | 简装 | 中楼层(共11层) | 2005年建 | 塔楼,743,80420
地铁口物业，在家就能看到小孩在校园操场奔跑的画面,中海西岸华府北区 ,松岗,3室2厅 | 127.7平米 | 南 北 | 毛坯 | 中楼层(共10层) | 2007年建 | 板塔结合,590,46203
满二年高楼层视野好户型好精致小三房明厨明卫拎包入住,豪方天际花园 ,南头,3室2厅 | 74.53平米 | 西 西北 | 精装 | 中楼层(共49层) | 2017年建 | 塔楼,978,131223
此房三期安静高楼层户型，视野开阔，一览众山小,香山美墅三期 ,华侨城,4室2厅 | 184.88平米 | 西南 | 毛坯 | 高楼层(共46层) | 2016年建 | 板楼,2550,137928
中粮锦云单价6.4万 高层朝南 五房 业主诚心出售,中粮锦云 ,西乡,5室2厅 | 176.95平米 | 东南 | 毛坯 | 高楼层(共30层) | 2012年建 | 塔楼,1120,63295
满五年唯一少量欠款花园大社区正规四房安静户型中楼层,幸福海岸三期 ,宝安中心,4室2厅 | 146.36平米 | 北 南 | 精装 | 低楼层(共32层) | 2013年建 | 板塔结合,1599,109252
半岛花园A区花园中间3房，诚意出售,半岛花园A区 ,蛇口,3室1厅 | 90.12平米 | 南 北 | 简装 | 中楼层(共7层) | 1993年建 | 板塔结合,800,88771
5房户型，红本在手，税费少，高拓展面积,中熙香缤山 ,西乡,5室2厅 | 121.96平米 | 南 北 | 精装 | 低楼层(共32层) | 2014年建 | 板塔结合,940,77075
信义菁华园三居室 看花园 南北通透双阳台 满五唯一,信义假日名城三期菁华园 ,布吉关,3室1厅 | 96.6平米 | 南 北 | 简装 | 中楼层(共11层) | 2004年建 | 塔楼,500,51760
东门天下地铁口精装三房 满五 。,东门天下 ,东门,3室1厅 | 89.37平米 | 东 | 精装 | 高楼层(共31层) | 2005年建 | 塔楼,580,64899
满五唯一，总价低的三房，黄贝岭地铁口 ，螺岭小學,福德花园 ,螺岭,3室1厅 | 81.55平米 | 南 | 精装 | 低楼层(共32层) | 1998年建 | 板塔结合,485,59473
倚山花园东南向毛坯三房，带入户。,倚山花园三期 ,沙头角,3室1厅 | 132.05平米 | 东南 | 毛坯 | 高楼层(共31层) | 2015年建 | 板塔结合,750,56797
新银座华庭 2室1厅 350万,新银座华庭 ,罗湖口岸,2室1厅 | 66.98平米 | 北 | 简装 | 中楼层(共31层) | 2005年建 | 塔楼,350,52255
可满五过户，总价低，朝南美宅，安静舒适宜居家,香格名苑 ,前海,3室1厅 | 86.25平米 | 东南 | 精装 | 中楼层(共26层) | 2013年建 | 板楼,860,99711
总价低易入手，大社区，刚需房，,中粮一品澜山花园 ,坪山,2室1厅 | 79.08平米 | 东 | 毛坯 | 中楼层(共32层) | 2013年建 | 板塔结合,200,25291
此房户型方正，厅出阳台，正对小区花园安静。,康桥紫郡 ,丹竹头,3室1厅 | 100平米 | 南 | 精装 | 高楼层(共18层) | 2007年建 | 板楼,498,49800
正规一房一厅，三地铁口物业。上梅林地铁站300米。,先科花园 ,梅林,1室1厅 | 38.91平米 | 北 | 简装 | 低楼层(共7层) | 1996年建 | 板楼,282,72475
力高君御国际 超大双阳台 南北通  精装四房看房方便,力高君御国际 ,坪山,4室1厅 | 88.72平米 | 南 | 精装 | 低楼层(共35层) | 2016年建 | 板塔结合,418,47115
苹果园精致南向一房一厅，户型方正实用拎包入住。,苹果园 ,龙华新区,1室1厅 | 41.46平米 | 南 | 简装 | 中楼层(共17层) | 2004年建 | 板塔结合,258,62229
润恒大厦 1房1厅 户型方正 朝向正北,润恒大厦 ,福田中心,1室1厅 | 43.48平米 | 北 | 简装 | 中楼层(共28层) | 2004年建 | 板塔结合,320,73598
中海怡瑞山居三房两厅 小区环境舒适 适合居家,中海怡瑞山居 ,布吉石芽岭,3室2厅 | 94平米 | 南 | 精装 | 高楼层(共29层) | 2007年建 | 塔楼,378,40213
空中楼阁，顶层风景，双89大露台，,金地龙城中央一期 ,龙岗中心城,4室2厅 | 123.36平米 | 东南 | 毛坯 | 高楼层(共34层) | 2016年建 | 板塔结合,547,44342
地铁口京基一期4房2厅红本在手厅出阳台户型方正采光好,京基御景印象一期 ,坪山,4室2厅 | 88.43平米 | 西北 | 精装 | 低楼层(共31层) | 2015年建 | 板塔结合,380,42972
标准三房，装修保养好，居家安静，高楼层视野好看河边,万象天成 ,龙岗中心城,3室2厅 | 88.89平米 | 南 | 精装 | 高楼层(共25层) | 2010年建 | 板塔结合,340,38250
深业东岭 红本在手  客厅出阳台 看黄贝岭公园,深业东岭 ,黄贝岭,3室2厅 | 86.56平米 | 西北 | 毛坯 | 低楼层(共38层) | 2018年建 | 塔楼,680,78559
此房满五，户型方正，通透，高层视野无遮挡,城中雅苑 ,福田中心,2室2厅 | 86.35平米 | 南 | 精装 | 高楼层(共32层) | 2004年建 | 塔楼,995,115229
朝南报价低 业主诚心卖 有钥匙随时看,友邻公寓 ,南山中心,1室0厅 | 27.64平米 | 东南 | 简装 | 30层 | 2006年建 | 塔楼,370,133864
置地朝南两房，满五唯一，装修漂亮,置地逸轩 ,春风路,2室1厅 | 58.22平米 | 南 | 精装 | 低楼层(共33层) | 2005年建 | 板塔结合,365,62694
愉天小区、深中、翠北未用、诚心放卖。,愉天小区 ,翠竹,2室1厅 | 41.64平米 | 东南 | 简装 | 中楼层(共8层) | 1992年建 | 板塔结合,535,128483
诚心卖，房子空置随时看，欠款自赎，正南向,新阁小区 ,银湖,1室0厅 | 36.98平米 | 南 | 简装 | 高楼层(共7层) | 1993年建 | 塔楼,172,46512
龙城广场地铁口 精装2房 客厅出阳台 诚售,东方明珠城 ,龙岗中心城,2室1厅 | 70.37平米 | 东北 | 精装 | 高楼层(共32层) | 2007年建 | 塔楼,282,40074
"标准的一房一厅,碧海湾地铁口次新小区,业主诚心卖,!",碧海君庭 ,碧海,1室1厅 | 43.41平米 | 西南 | 精装 | 低楼层(共27层) | 2017年建 | 塔楼,410,94449
住家花园小区，带游泳池，视野好，高层，交通便利,嘉洲华苑 ,车公庙,2室1厅 | 82.28平米 | 东南 | 简装 | 中楼层(共26层) | 2003年建 | 板塔结合,580,70492
此房满五年唯一，红本在手，高楼层，配套齐全。,东和大厦 ,沙头角,2室1厅 | 70.3平米 | 东北 | 简装 | 高楼层(共32层) | 2000年建 | 板塔结合,280,39830
四季花城电梯2房 高楼层 满五 看房随时方便,万科四季花城二期 ,坂田,2室2厅 | 62.65平米 | 南 北 | 简装 | 高楼层(共11层) | 2000年建 | 板楼,458,73105
新天地名居精装修两房，采光和通风好。,新天地名居 ,黄贝岭,2室1厅 | 54.16平米 | 西北 | 精装 | 中楼层(共31层) | 2005年建 | 板塔结合,390,72009
满五精装高楼层大一房，朝向采光好，视野无遮挡。,骏庭名园 ,地王,1室1厅 | 51.21平米 | 东 | 精装 | 高楼层(共31层) | 2001年建 | 板塔结合,265,51748
星河盛世 1室1厅 415万,星河盛世 ,梅林关,1室1厅 | 47.14平米 | 西北 | 精装 | 高楼层(共30层) | 2013年建 | 塔楼,415,88036
桂芳园南北向二房 满五红本 税费低 业主诚心卖,桂芳园一期 ,布吉大芬,2室2厅 | 60.57平米 | 南 北 | 简装 | 中楼层(共6层) | 2001年建 | 板楼,292,48209
2/9号线双地铁口，户型方正高楼层采光视野号！ 荔园,TT国际公寓 ,景田,1室1厅 | 40.02平米 | 西北 | 简装 | 中楼层(共29层) | 2005年建 | 板塔结合,390,97452
和谐家园精装大两房，满五年红本,和谐家园 ,布吉大芬,2室2厅 | 67.01平米 | 东南 | 精装 | 高楼层(共28层) | 2010年建 | 板塔结合,375,55962
花园社区，房子正规一房，业主诚心放卖，看房方便！,新天地名居 ,黄贝岭,1室1厅 | 39.27平米 | 西南 | 简装 | 中楼层(共31层) | 2005年建 | 板塔结合,,60989
此房满五年，红本在手，业主诚心出售，采光视野好,翠竹苑 ,百仕达,2室1厅 | 57.5平米 | 南 | 简装 | 中楼层(共6层) | 1983年建 | 板楼,470,81740
此房装修很新.户型方正实用。产权清晰，阳台带风。,金城大厦 ,春风路,2室1厅 | 46.37平米 | 西南 | 精装 | 中楼层(共23层) | 1984年建 | 板塔结合,225,48523
全新精装修，位置安静，看园景，户型方正,中城康桥花园二期 ,丹竹头,2室1厅 | 58.73平米 | 西北 | 精装 | 低楼层(共18层) | 2003年建 | 板楼,272,46314
正规两房，满五年，唯一，看房有钥匙,金色年华家园 ,莲塘,2室1厅 | 52.6平米 | 东北 | 简装 | 高楼层(共27层) | 2005年建 | 板塔结合,368,69962
住宅两房，房子红本在手，业主诚心出售，看房方便。,皇都广场 ,石厦,2室1厅 | 55.28平米 | 西北 | 简装 | 高楼层(共39层) | 2004年建 | 板塔结合,318,57526
红本无欠款，钥匙在手，随时看房，换房诚售!,艺丰花园B区 ,梅林,2室1厅 | 86.6平米 | 北 | 简装 | 中楼层(共7层) | 1997年建 | 板塔结合,558,64435
全明格局、地铁口物业、高使用率,和平广场 ,地王,2室1厅 | 62.87平米 | 东北 | 精装 | 低楼层(共34层) | 2000年建 | 板塔结合,370,58852
振业峦山谷花园 精装两房 朝南 安静,振业峦山谷 ,龙岗宝荷,2室1厅 | 53.34平米 | 东南 南 | 精装 | 低楼层(共33层) | 2010年建 | 板塔结合,223,41808
近京基 蔡屋围 满五唯一 随时可看 诚心出售,骏庭名园 ,地王,1室1厅 | 51.21平米 | 西 | 简装 | 高楼层(共31层) | 2001年建 | 板塔结合,263,51358
满五唯一，欠款少。税费少，交通便利,中粮幸福花园 ,西乡,2室2厅 | 43.66平米 | 东北 | 简装 | 低楼层(共27层) | 2009年建 | 板塔结合,398,91159
环岛丽园，正规一居室，高楼层，红本满五，螺岭,环岛丽园 ,螺岭,1室1厅 | 37.46平米 | 北 | 精装 | 高楼层(共33层) | 2002年建 | 塔楼,335,89429
赞！卡罗社区大一房  三地铁口物业 户型方正朝向棒,卡罗社区 ,翻身,1室1厅 | 45.92平米 | 西南 | 精装 | 低楼层(共16层) | 2007年建 | 板塔结合,423,92117
苹果园精装一房，满五唯一，户型方正实用，拎包入住,苹果园 ,龙华新区,1室1厅 | 41.38平米 | 南 | 精装 | 低楼层(共17层) | 2004年建 | 板塔结合,250,60416
满五 红本 厅出阳台 看山景 小区唯一毛坯房 税费少,万科千林山居一期（万科清林径） ,龙岗中心城,2室2厅 | 78.87平米 | 北 | 毛坯 | 中楼层(共32层) | 2009年建 | 板塔结合,265,33600
此房满五唯一红本税费少，朝南采光好。,潜龙鑫茂花园C区 ,民治,1室1厅 | 39.41平米 | 南 | 简装 | 高楼层(共13层) | 2006年建 | 板塔结合,282,71556
此房满五唯一户型方正看房方便业主诚售,碧华庭居 ,梅林,2室1厅 | 85.99平米 | 西 | 简装 | 中楼层(共17层) | 2000年建 | 塔楼,690,80242
老街地铁口 红本满五年 41平落地窗采光好漂亮入户大堂,港岛银座 ,地王,1室0厅 | 41.05平米 | 西北 | 简装 | 中楼层(共32层) | 2006年建 | 板楼,201,48965
山海津正规高层两房，风景独特，视野开阔,山海津 ,蛇口,2室1厅 | 78.14平米 | 西南 | 精装 | 高楼层(共19层) | 2015年建 | 板塔结合,666,85232
东南看宝体，听出阳台。少有放盘。,花样年花郡 ,宝安中心,1室1厅 | 37.44平米 | 东南 | 精装 | 中楼层(共27层) | 2010年建 | 塔楼,500,133548
中兆花园 2室1厅 280万,中兆花园 ,布吉大芬,2室1厅 | 65.89平米 | 南 | 精装 | 中楼层(共22层) | 2001年建 | 板塔结合,280,42496
苹果园精装一房，满五唯一，户型方正实用，拎包入住,苹果园 ,龙华新区,1室1厅 | 41.54平米 | 南 | 精装 | 低楼层(共16层) | 2004年建 | 板塔结合,256,61628
名仕阁 1室1厅 295万,名仕阁 ,地王,1室1厅 | 56.27平米 | 北 | 精装 | 中楼层(共33层) | 1999年建 | 板塔结合,295,52426
地铁口  12号线 精装1房 适合居家,万福人家 ,福永,1室1厅 | 43.94平米 | 东南 | 精装 | 中楼层(共11层) | 2005年建 | 板塔结合,290,66000
满5唯1，红本在手，精装修！！,自由港湾公寓 ,福田保税区,1室0厅 | 27平米 | 西南 南 | 精装 | 中楼层(共21层) | 2002年建 | 塔楼,230,85186
蔡屋围 近京基 四条地铁 满五红本在手 诚心出售,骏庭名园 ,地王,2室1厅 | 57.95平米 | 东南 | 简装 | 中楼层(共31层) | 2001年建 | 板塔结合,345,59535
国贸 东方皇宫 方正两房 诚心出售,东方皇宫 ,春风路,2室1厅 | 63.7平米 | 东南 西南 | 精装 | 低楼层(共29层) | 1990年建 | 板塔结合,280,43957
满五年，红本在手，高楼层，南向小二居,合正观澜汇 ,观澜,2室2厅 | 56.27平米 | 南 | 精装 | 高楼层(共29层) | 2016年建 | 板塔结合,390,69309
换房急售 红本在手 红山片区 地铁口,潜龙曼海宁花园北区 ,上塘,1室0厅 | 30.31平米 | 东南 | 精装 | 低楼层(共28层) | 2013年建 | 塔楼,315,103927
低密度社区居家舒适 带有平台大花园 朝南满五年唯一,华浩源B区 ,布吉石芽岭,2室1厅 | 78.36平米 | 南 | 简装 | 低楼层(共10层) | 2005年建 | 板塔结合,355,45304
此房精装修，可以直接拎包入住，厅出阳台户型方正。,深华商业大厦 ,春风路,3室2厅 | 100.32平米 | 西南 | 精装 | 中楼层(共28层) | 2003年建 | 板塔结合,432,43063
东方尊峪高楼层 朝南户型  按红本交易,万科东方尊峪 ,莲塘,2室2厅 | 124.19平米 | 南 | 精装 | 中楼层(共24层) | 2008年建 | 板塔结合,768,61841
次新房 朝南 2+1房  住家装修  保养好  业主诚心出售,承翰陶源 ,龙岗中心城,3室1厅 | 78.32平米 | 东南 | 精装 | 中楼层(共33层) | 2014年建 | 板塔结合,285,36390
花郡高层 单房 总价低 装修好,花样年花郡 ,宝安中心,1室0厅 | 27.7平米 | 西北 | 简装 | 高楼层(共20层) | 2010年建 | 板塔结合,320,115524
看花园，1号线地铁宝体，户型方正,幸福海岸一期 ,宝安中心,2室1厅 | 70.76平米 | 北 | 简装 | 高楼层(共18层) | 2005年建 | 塔楼,920,130017
户型房正， 电梯两房，采光好，看花园，安静。,中城康桥花园二期 ,丹竹头,2室2厅 | 69.1平米 | 北 | 精装 | 中楼层(共12层) | 2003年建 | 板楼,350,50652
优质多层围合3房南向 安静采光通风好 税还少,梅林一村七区 ,梅林,3室1厅 | 95.72平米 | 西南 | 简装 | 中楼层(共9层) | 1998年建 | 板塔结合,830,86712
精装格局好，安静、厅出大阳台，业主诚心出售。,中海阳光玫瑰园 ,前海,2室1厅 | 71.94平米 | 东 | 其他 | 低楼层(共31层) | 2010年建 | 塔楼,970,134835
中间楼层，视中间楼层，满五唯一，使用率高,厚德品园 ,科技园,3室2厅 | 75.93平米 | 南 北 | 精装 | 中楼层(共32层) | 2008年建 | 塔楼,976,128540
环境好，成熟商圈，大社区，  精装四房，可拎包入住，,中信领航 ,西乡,4室1厅 | 89.8平米 | 南 | 精装 | 高楼层(共30层) | 2013年建 | 板塔结合,745,82963
厅挑高3.9米设计，户型灵活好利用,创世纪滨海花园 ,科技园,2室1厅 | 77.12平米 | 东北 | 精装 | 高楼层(共21层) | 2001年建 | 塔楼,886,114886
摩尔城地铁口三房，楼下就是摩尔城广场，无缝链接地铁,鹏达摩尔城 ,龙岗双龙,3室2厅 | 89.68平米 | 南 北 | 精装 | 中楼层(共31层) | 2010年建 | 塔楼,340,37913
奥林华府单证4房    满五唯一红本在手   全新毛坯,奥林华府 ,大运新城,4室2厅 | 150.1平米 | 南 北 | 毛坯 | 低楼层(共25层) | 2007年建 | 板塔结合,880,58628
此房满五年，楼层高，采光充足，住家装修。,阳光新干线家园 ,春风路,1室1厅 | 39.19平米 | 西 西北 | 简装 | 中楼层(共33层) | 2005年建 | 塔楼,205,52310
国展苑正规小2房，高楼层，格局通透户型好。,国展苑 ,布吉关,2室2厅 | 50.49平米 | 西 | 简装 | 高楼层(共35层) | 2002年建 | 塔楼,205,40603
房子满两年 欠费少 高楼层 采光效果不错,嘉亿爵悦 ,大运新城,4室2厅 | 89平米 | 南 | 精装 | 低楼层(共32层) | 2016年建 | 塔楼,440,49439
